,Company name Latin alphabet,BvD ID number,"DM
Full name","DM
UCI (Unique Contact Identifier)","DM
Current or previous","DM
Type of role","DM
Board, committee or department"
,,,Mr Colin Cass,P735580529,Current,R&D,Research & Development / Engineering
,,,Mr Remy Cogoluegne,P735580238,Current,R&D,Research & Development / Engineering
,,,Mr Andrew Corrigan,P735580532,Current,R&D,Research & Development / Engineering
,,,Mr Alun Cox,P457686662,Current,R&D,Research & Development / Engineering
,,,Mr Gary Dawe,P670736629,Current,R&D,Research & Development / Engineering
,,,Mr Andrew Doherty,P690387183,Current,R&D,Research & Development / Engineering
,,,Mr George Dunhill,P646486617,Current,R&D,Research & Development / Engineering
,,,Mr Colin Dunn,P725736351,Current,R&D,Research & Development / Engineering
,,,Mr Steve Edge,P632335190,Current,R&D,Research & Development / Engineering
,,,Mr Costas Georgiou,P679567694,Current,R&D,Research & Development / Engineering
,,,Mr Vittorio Giannetti,P735580530,Current,R&D,Research & Development / Engineering
,,,Mr Paul Gilmartin,P725736029,Current,R&D,Research & Development / Engineering
,,,Mr James Greer,P735580599,Current,R&D,Research & Development / Engineering
,,,Mr Graham Hayes,P735580240,Current,R&D,Research & Development / Engineering
,,,Dr Anestis Katsounaros,P148831119,Current,R&D,Research & Development / Engineering
,,,Mr Bjoern Kirchhoff,P457686671,Current,R&D,Research & Development / Engineering
,,,Mr Paul Lee,P725736040,Current,R&D,Research & Development / Engineering
,,,Mr Huw Lewis,P646486578,Current,"R&D,IT&IS",Research & Development / Engineering; Information Technology (IT) & Information Systems (IS)
,,,Mr Shaun Loveday,P457687529,Current,R&D,Research & Development / Engineering
,,,Mr Alexander Lycett,P457686710,Current,R&D,Research & Development / Engineering
,,,Mr Joe Neath,P457686616,Current,R&D,Research & Development / Engineering
,,,Mr Ali Ozturk,P679567685,Current,R&D,Research & Development / Engineering
,,,Ms Rhian Perrin,P679567683,Current,"R&D,Oper",Research & Development / Engineering; Operations & Production & Manufacturing
,,,Mr Stephen Powell,P457687343,Current,R&D,Research & Development / Engineering
,,,Mr Kingsley Reed,P701367717,Current,R&D,Research & Development / Engineering
,,,Ms Jane Ryder,P725736359,Current,R&D,Research & Development / Engineering
,,,Mr Ignacio Salan,P735580528,Current,R&D,Research & Development / Engineering
,,,Mr Mark Samways,P735580243,Current,R&D,Research & Development / Engineering
,,,Mr Andrew Sawyer,P670736618,Current,"R&D,Oper",Research & Development / Engineering; Operations & Production & Manufacturing
,,,Mr Dominic Smith,P632335199,Current,R&D,Research & Development / Engineering
,,,Ms Steph Smith,P701367732,Current,R&D,Research & Development / Engineering
,,,Mr Marcus Twomey,P670736615,Current,R&D,Research & Development / Engineering
,,,Mr Harry Vickers,P457686665,Current,R&D,Research & Development / Engineering
,,,Megan Wakeling,P670737121,Current,R&D,Research & Development / Engineering
,,,Mr Richard Walters,P726039227,Current,R&D,Research & Development / Engineering
,,,Ms Audrey Aubin,P683149745,Current,Oper,Operations & Production & Manufacturing
,,,Mr Craig Barney,P679567697,Current,Oper,Operations & Production & Manufacturing
,,,Mr Neil Britten,P457687326,Current,Oper,Operations & Production & Manufacturing
,,,Ms Nadia Chauvin,P646486551,Current,Oper,Operations & Production & Manufacturing
,,,Mr Jack Crichton,P646486615,Current,Oper,Operations & Production & Manufacturing
,,,Mr Richard Edwards,P670737044,Current,Oper,Operations & Production & Manufacturing
,,,Mr Peter Fleet,P457687545,Current,Oper,Operations & Production & Manufacturing
,,,Mr Dafydd Griffith,P670736619,Current,Oper,Operations & Production & Manufacturing
,,,Mr Stephen Hampson,P632335415,Current,Oper,Operations & Production & Manufacturing
,,,Mr Jason Heaven,P457687317,Current,Oper,Operations & Production & Manufacturing
,,,Mr John Hope,P735580488,Current,Oper,Operations & Production & Manufacturing
,,,Connor Leitch,P670736667,Current,Oper,Operations & Production & Manufacturing
,,,Mr Mark Logan,P457686698,Current,Oper,Operations & Production & Manufacturing
,,,Mr Guy Mcglade,P457687339,Current,Oper,Operations & Production & Manufacturing
,,,Mr Mathew Patch,P646486622,Current,Oper,Operations & Production & Manufacturing
,,,Mr Andrew Robinson,P457687348,Current,Oper,Operations & Production & Manufacturing
,,,Ms Isabelle Saunders,P679567715,Current,Oper,Operations & Production & Manufacturing
,,,Ms Lisa Waters,P632335191,Current,Oper,Operations & Production & Manufacturing
,,,Mr Andy Wilson,P457687369,Current,Oper,Operations & Production & Manufacturing
,,,Mr Paul Worrall,P679567680,Current,Oper,Operations & Production & Manufacturing
,,,Mr Ahmed Abdullahi,P646306534,Current,Proc,Purchasing & Procurement
,,,Mr Carlos Ares,P683149744,Current,Proc,Purchasing & Procurement
,,,Ms Alison Shepherd,P457687346,Current,Proc,Purchasing & Procurement
,,,Mr Mark Barker,P725736357,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Ms Amy Bulman,P457687381,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Robert Finger,P670737123,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Neill Hardy,P646486565,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Russell Hibbs,P457687427,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Sanjiv Sharma,P343221373,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Glen Stanley,P632335328,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Ms Mathilde Vellas,P670736669,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Ali Yilmaz,P679567709,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Francisco Aguilar,P725736354,Current,OthDep,Other or unspecified department
,,,Ms Sonya Amos,P735580235,Current,OthDep,Other or unspecified department
,,,Mr Victor Anton,P735580237,Current,OthDep,Other or unspecified department
,,,Ms Amanda Bounsall,P735580242,Current,OthDep,Other or unspecified department
,,,Mr Daniel Brooke,P735580603,Current,OthDep,Other or unspecified department
,,,Ms Sarah Cannon,P725736041,Current,OthDep,Other or unspecified department
,,,Mr Graham Cocks,P701367730,Current,OthDep,Other or unspecified department
,,,Ms Adriana D'souza,P735580241,Current,OthDep,Other or unspecified department
,,,Mr Massimiliano Dugo,P646486526,Current,OthDep,Other or unspecified department
,,,Ms Mary Eranackal,P701367738,Current,OthDep,Other or unspecified department
,,,Mr Shane Flood,P690387177,Current,OthDep,Other or unspecified department
,,,Mr Robert Fretwell,P683149747,Current,OthDep,Other or unspecified department
,,,Mr Mark Harrison,P632396774,Current,OthDep,Other or unspecified department
,,,Mr Martin Herring,P735580596,Current,OthDep,Other or unspecified department
,,,Mr Jason Horrigan,P670737084,Current,OthDep,Other or unspecified department
,,,Mr Richard James,P670737042,Current,OthDep,Other or unspecified department
,,,Mr Guillaume Laederich,P735580595,Current,OthDep,Other or unspecified department
,,,Mr Tim Lloyd,P701367743,Current,OthDep,Other or unspecified department
,,,Mr Jonathan Richard Owen McGivan,P003607537,Current,OthDep,Other or unspecified department
,,,Mr Stephen Minchella,P701367733,Current,OthDep,Other or unspecified department
,,,Mr Imran Mujtaba,P735580602,Current,OthDep,Other or unspecified department
,,,Mr Stephen Pestell,P735580531,Current,OthDep,Other or unspecified department
,,,Ms Hannah Ringrow,P701367718,Current,OthDep,Other or unspecified department
,,,Mr Gareth Roberts,P735580236,Current,OthDep,Other or unspecified department
,,,Mr Nick Roberts,P725736042,Current,OthDep,Other or unspecified department
,,,Mr Lloyd Rush,P694564251,Current,OthDep,Other or unspecified department
,,,Mr Jeff Winter,P735580600,Current,OthDep,Other or unspecified department
16.,SAAB AB,SE5560360793,Mr Marcus Wallenberg,P003913623,Current,BoD,Board of Directors
,,,Mr Marcus Wallenberg,P003913623,Current,Proxy,Proxyholders
,,,Mr Marcus Wallenberg,P003913623,Current,RemC,Remuneration/Compensation Committee
,,,Mr Bert AAke Stefan Nordberg,P012318744,Current,BoD,Board of Directors
,,,Mr Bert AAke Stefan Nordberg,P012318744,Current,RemC,Remuneration/Compensation Committee
,,,Mr Goeran Andersson,P639583083,Current,BoD,Board of Directors
,,,Mr Stefan Andersson,P277601244,Current,BoD,Board of Directors
,,,Ms Lena Erixon,P718888704,Current,BoD,Board of Directors
,,,Mr Magnus Gustafsson,P386564532,Current,BoD,Board of Directors
,,,Mr Goeran Gustavsson,P690207870,Current,BoD,Board of Directors
,,,Mr Olof Henrik Gudmund Henriksson,P055297399,Current,BoD,Board of Directors
,,,Mr Jens Thure Conny Holm,P043818561,Current,BoD,Board of Directors
,,,Mr Sten Erik Jakobsson,P011159801,Current,BoD,Board of Directors
,,,Ms Danica Kragic Jensfelt,P278969329,Current,BoD,Board of Directors
,,,Mr Bengt Mikael Johansson,P409826183,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Bengt Mikael Johansson,P409826183,Current,Proxy,Proxyholders
,,,Ms Sara Mazur,P156591720,Current,BoD,Board of Directors
,,,Mr Johan Olof Menckel,P062026561,Current,BoD,Board of Directors
,,,Mr Johan Olof Menckel,P062026561,Current,RemC,Remuneration/Compensation Committee
,,,Ms Tina Mikkelsen,P386564531,Current,BoD,Board of Directors
,,,Mr Bengt Daniel Nodhaell,P156255600,Current,BoD,Board of Directors
,,,Mr Bengt Daniel Nodhaell,P156255600,Current,AudC,Audit Committee
,,,Ms Erika Johanna Soederberg Johnsson,P038980740,Current,BoD,Board of Directors
,,,Ms Erika Johanna Soederberg Johnsson,P038980740,Current,AudC,Audit Committee
,,,Ms Marie Cecilia Stegoe Chilo,P043924499,Current,BoD,Board of Directors
,,,Mr Lars Svensson,P690207862,Current,BoD,Board of Directors
,,,Mr Joakim Westh,P012317773,Current,BoD,Board of Directors
,,,Mr Joakim Westh,P012317773,Current,AudC,Audit Committee
,,,Ms Inga Annika Baeremo,P038942821,Current,BoD,Board of Directors
,,,Ms Inga Annika Baeremo,P038942821,Current,Proxy,Proxyholders
,,,Ms Inga Annika Baeremo,P038942821,Current,LegDep,Legal/Compliance/Risk department
,,,Ms Inga Annika Baeremo,P038942821,Current,OthDep,Other or unspecified department
,,,Mr Carl-Johan Otto Bergholm,P431274395,Current,Proxy,Proxyholders
,,,Mr Carl-Johan Otto Bergholm,P431274395,Current,PMPMan,Product/Project/Market Management
,,,Mr Carl-Johan Otto Bergholm,P431274395,Current,OthDep,Other or unspecified department
,,,Mr Anders Rasool Carp,P075117851,Current,Proxy,Proxyholders
,,,Mr Anders Rasool Carp,P075117851,Current,SenMan,Senior management
,,,Ms Lena Kristina Eliasson,P130306899,Current,Proxy,Proxyholders
,,,Ms Lena Kristina Eliasson,P130306899,Current,HR,Human Resources (HR)
,,,Ms Lena Kristina Eliasson,P130306899,Current,OthDep,Other or unspecified department
,,,Mr Jonas AAke Hjelm,P043813135,Current,Proxy,Proxyholders
,,,Mr Jonas AAke Hjelm,P043813135,Current,PMPMan,Product/Project/Market Management
,,,Mr Jonas AAke Hjelm,P043813135,Current,OthDep,Other or unspecified department
,,,Mr Gorgen Lars Erik Johansson,P043800961,Current,Proxy,Proxyholders
,,,Mr Gorgen Lars Erik Johansson,P043800961,Current,PMPMan,Product/Project/Market Management
,,,Mr Gorgen Lars Erik Johansson,P043800961,Current,OthDep,Other or unspecified department
,,,Mr Carl Peter Christion Luiga,P038960515,Current,Proxy,Proxyholders
,,,Mr Carl Peter Christion Luiga,P038960515,Current,SenMan,Senior management
,,,Mr Carl Peter Christion Luiga,P038960515,Current,FinAcc,Finance & Accounting
,,,Mr Lars Johan Tossman,P048886156,Current,Proxy,Proxyholders
,,,Mr Lars Johan Tossman,P048886156,Current,PMPMan,Product/Project/Market Management
,,,Mr Lars Johan Tossman,P048886156,Current,OthDep,Other or unspecified department
,,,Mr Christian Bertil Hedelin,P459691723,Current,SenMan,Senior management
,,,Mr Christian Bertil Hedelin,P459691723,Current,OthDep,Other or unspecified department
,,,Ms Johanna Hallstedt,P727514689,Current,SenMan,Senior management
,,,Mr Merton Kaplan,P270808156,Current,SenMan,Senior management
,,,Mr Ulf Magnus Oernberg,P154538250,Current,FinAcc,Finance & Accounting
,,,Mr Dean Anthony Rosenfield,P164025043,Current,MarkAdv,Marketing & Advertising
,,,Mr Dean Anthony Rosenfield,P164025043,Current,OthDep,Other or unspecified department
,,,Ms Charlotta Bjoerklund,P727514688,Current,OthDep,Other or unspecified department
,,,Ms Charlotta Bjoerklund,P727514688,Current,OthDep,Other or unspecified department
17.,AIRBUS DEFENCE AND SPACE SA.,ESA28006104,Mr Alberto Gutierrez,P042161911,Current,BoD,Board of Directors
,,,Mr Alberto Gutierrez,P042161911,Current,SenMan,Senior management
18.,AIRBUS DEFENCE AND SPACE SAS,FR393341516,Mr Jean- Marc Nasr,P043620293,Current,BoD,Board of Directors
,,,Mr Guilhem Boltz,P464013154,Current,ExeB,Executive Board
,,,"Mr Francois, Marie, Jacques Gaullier",P506057803,Current,SenMan,Senior management
,,,Mr Francois Lombard,P407215521,Current,SenMan,Senior management
,,,Mr Dominique Yves Maudet,P146905468,Current,SenMan,Senior management
,,,Mr Antoine Marc Daniel Noguier,P438359158,Current,SenMan,Senior management
,,,Mr Philippe Pham,P160607289,Current,SenMan,Senior management
,,,Dr. Johannes Von Thadden,P003313644,Current,SenMan,Senior management
,,,Ms Catherine Delmotte,P435709861,Current,SenMan,Senior management
,,,Ms Catherine Delmotte,P435709861,Current,HR,Human Resources (HR)
,,,Mr Ignace Garcia Brotons,P354215419,Current,SenMan,Senior management
,,,Mr Abdel-Ilah Marrakchi,P238190638,Current,SenMan,Senior management
,,,Mr Hugues Laporte Weywada,P437719671,Current,SenMan,Senior management
,,,Ms Guenaelle Penin De La Raudiere,P435709860,Current,"FinAcc,AdmDep",Finance & Accounting; Administration department
,,,Mr Jean Brice Marie Henri Dumont,P155636524,Current,OthDep,Other or unspecified department
19.,AIRBUS HELICOPTERS DEUTSCHLAND GMBH,DE8130023686,Mr Bruno Claude Even,P061440432,Current,SupB,Supervisory Board
,,,Mr Martin Gnad,P637680218,Current,SupB,Supervisory Board
,,,Dr. Christophe Pierre Alban Jaeger,P263001206,Current,Proxy,Proxyholders
,,,Mr Hans Bartosch,P499695631,Current,SenMan,Senior management
,,,Ms Grit de Vito,P669898450,Current,SenMan,Senior management
,,,Mr Helmut Faerber,P686624747,Current,SenMan,Senior management
,,,Mr Johannes Kleidorfer,P211904379,Current,SenMan,Senior management
,,,Mr Johannes Kleidorfer,P211904379,Current,HR,Human Resources (HR)
,,,Dr. Klaus Przemeck,P272541767,Current,SenMan,Senior management
,,,Dr. Wolfgang Schoder,P039650352,Current,SenMan,Senior management
,,,Mr Frank Kaiser,P727643857,Current,FinAcc,Finance & Accounting
,,,Mr Thomas Hein,P370565050,Current,"Sales,Oper",Sales & Retail; Operations & Production & Manufacturing
,,,Mr Stefan Bestle,P727643854,Current,MarkAdv,Marketing & Advertising
,,,Mr Bernhard Weigl,P332738621,Current,Oper,Operations & Production & Manufacturing
,,,Mr Ronald Klose,P727643858,Current,Proc,Purchasing & Procurement
,,,Mr Thomas Drehmel,P727643856,Current,OthDep,Other or unspecified department
,,,Ms Katrin Fricke,P332738620,Current,OthDep,Other or unspecified department
,,,Ms Andrea Pratzka,P727643859,Current,OthDep,Other or unspecified department
20.,DAIMLERCHRYSLER AEROSPACE AG,DE8170001445,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria
21.,ARIANEGROUP SAS,FR519032247,Mr Gilles Remi Fonblanc,P051800298,Current,BoD,Board of Directors
,,,Mr Jean-Francois Delange,P685953610,Current,SenMan,Senior management
,,,Ms Vanina Prache,P697160492,Current,SenMan,Senior management
,,,Mr Hugo Richard,P696780976,Current,SenMan,Senior management
,,,Mr Andre Hubert Vincent Roussel,P065749232,Current,SenMan,Senior management
,,,Dipl.-Kfm. Pierre Godart,P152067017,Current,"FinAcc,AdmDep",Finance & Accounting; Administration department
,,,Mr Philippe Pastor,P281700064,Current,HR,Human Resources (HR)
,,,Mr Herve Gilibert,P280795198,Current,R&D,Research & Development / Engineering
22.,THALES ALENIA SPACE FRANCE,FR414725101,Mr Herve Derrey,P352557827,Current,BoD,Board of Directors
,,,Mr Evrard Raymond Aime Decourcelle,P051753517,Current,"FinAcc,AdmDep",Finance & Accounting; Administration department
,,,Ms Cecilia Navarra,P668813950,Current,HR,Human Resources (HR)
,,,Mr Martinus Franciscus Antonius van Schaik,P094520639,Current,Sales,Sales & Retail
,,,Ms Karintia Martinez,P437719037,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr David Gaillard,P437719036,Current,Health,Health & Safety
,,,Mr Roberto Silvano Minella,P086825323,Current,OthDep,Other or unspecified department
23.,PREMIUM AEROTEC GMBH,DE8030295243,Ms Sabine Klauke,P468855904,Current,SupB,Supervisory Board
,,,Mr Markus Getta,P702134661,Current,Proxy,Proxyholders
,,,Mr David Mueller,P201390701,Current,Proxy,Proxyholders
,,,Mr Frank Mueller,P263079683,Current,Proxy,Proxyholders
,,,Mr Bruno Bernard Francois Marie Paul Pasturel,P052430432,Current,Proxy,Proxyholders
,,,Mr Moritz Petri,P713250676,Current,Proxy,Proxyholders
,,,Dr. Thomas Daniel Ehm,P131289481,Current,SenMan,Senior management
,,,Mr Thorsten Fischer,P118535992,Current,SenMan,Senior management
,,,Mr Joachim Naegele,P093827317,Current,SenMan,Senior management
,,,Mr Marco Wagner,P164461040,Current,SenMan,Senior management
,,,Mr Marco Wagner,P164461040,Current,OthDep,Other or unspecified department
,,,Dr. Ulrich Weber,P454875042,Current,SenMan,Senior management
,,,Mr Markus Hamann,P382176463,Current,"Sales,Oper",Sales & Retail; Operations & Production & Manufacturing
,,,Mr Robert Schwarz,P727587334,Current,Oper,Operations & Production & Manufacturing
,,,Ms Selime Ilarslan,P727587335,Current,OthDep,Other or unspecified department
24.,SAFRAN LANDING SYSTEMS,FR712019538,Mr Cedric Gilles Goubet,P127241284,Current,BoD,Board of Directors
,,,Mr Olivier Jean Blat,P160054712,Current,SenMan,Senior management
,,,Mr Christophe Gueret,P687369890,Current,R&D,Research & Development / Engineering
,,,Mr Patrick Joyez,P687369891,Current,R&D,Research & Development / Engineering
